# Regex\tIntensity
\bn[i1]gg[aer]+\b\t3.0
\bn1gg[aer]+\b\t3.0
\bn[i1][g9]{2}[e3][r4]+\b\t3.0
\bsandnigg\w*\b\t3.0
\bfag(got|ette)?\b\t2.8
\bf4g\b\t2.6
\bfaqq+\b\t2.6
\bf[@a][g9]{2,}[o0]t\b\t2.9
\bdyke\b\t2.5
\btranny\b\t2.5
\btransvestite\b\t2.3
\bretard(ed)?\b\t2.2
\bautist\b\t2.1
\bkike\b\t3.0
\bchink\b\t3.0
\bgook\b\t3.0
\bspic\b\t3.0
\bwetback\b\t3.0
\bbeaner\b\t3.0
\bcracker\b\t2.3
\bwhite\s+trash\b\t2.3
\bcoon\b\t3.0
\bran?ghead\b\t3.0
\bcamel\s*jockey\b\t3.0
\bpaki\b\t3.0
\bbanci\b\t2.2
\bbencong\b\t2.2
\bwaria\b\t2.0
\bbayot\b\t2.2
\bbakla\b\t2.0
\bputo\b\t1.8
\bcholo\b\t2.0
\bkatoy\b\t2.2
\bkaffir\b\t3.0
\bkafir\b\t2.3
\bblackie\b\t3.0
\bbrownie\b\t2.5
\bhonkey\b\t2.5
\bwhite\s+devil\b\t2.5
\bgoat\s*fucker\b\t3.0
\bwindow\s*licker\b\t2.2
\bcripple\b\t2.0
\bmongoloid\b\t3.0
\btrannie\b\t2.5
\bshemale\b\t2.5
\bwhitey\b\t2.0
\bporch\s*monkey\b\t3.0
\bdirty\s+(?:mexican|arab|jew|chink|spic)\b\t3.0
\b(?:kill|bomb) all (?:gays|jews|muslims|blacks)\b\t3.0
\ball\s+(?:black|blacks|white|whites|asian|asians|muslim|muslims|jew|jews|gay|gays|queer|queers|lesbian|lesbians|trans|immigrant|immigrants)\s+(?:are|'re|r)\s+(?:trash|scum|evil|garbage|animals|filth|dumb|savages)\b\t2.0
\b(?:black|white|asian|muslim|jew|gay|lesbian|trans|immigrant)s?\s+(?:should|must|need to)\s+(?:die|leave|burn|disappear|go home|get out)\b\t2.5
\b(?:black|white|asian|muslim|jew|gay|lesbian|trans|immigrant)s?\s+(?:don't|do not)\s+belong\b\t2.3
\b(?:black|white|asian|muslim|jew|gay|lesbian|trans|immigrant)s?\s+(?:aren't|are not)\s+(?:people|human)\b\t2.5
\bno\s+(?:gays|trannies|blacks|whites|asians|muslims|jews|immigrants)\b\t2.3
\bgo back to (?:africa|mexico|china|your country)\b\t2.3
\bsend (?:them|those) (?:back|home)\b\t2.0
